ho_so_id,ref_id,ten_chu_ho_so,val_02,loai_ho_so,co_quan_tiep_nhan,ngay_nop,han_giai_quyet,trang_thai_xu_ly,ext_info,code_x,so_bao_hiem,phi_ho_so,nhan_vien_xu_ly,dia_chi_lien_lac,meta_addr,so_ho_khau,kenh_tiep_nhan,ket_qua_xu_ly,updated_at
ADM-690635,066193735762,Đặng Thanh Mai,0357296379,Đăng ký kinh doanh,UBND Huyện Gia Lâm,2024-06-10,2024-07-14,Chờ bổ sung hồ sơ,dang.thanh.mai136@outlook.com,066193735762,1153134024,50000,NV-517041,"80 Phạm Văn Đồng, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh","420 Phan Đình Phùng, Phường Hoàng Văn Thụ, TP. Thái Nguyên, Thái Nguyên",034/200199,Trực tiếp,Chấp thuận,2023-09-17
ADM-278097,004161538575,Hoàng Trung Giang,0862700527,Ly hôn,UBND Quận 1,2023-06-01,2023-06-23,Chờ bổ sung hồ sơ,hoang.trung.giang326@gmail.com,004161538575,8028024021,0,NV-828309,"460 Đinh Tiên Hoàng, Phường Phú Hội, TP. Huế, Thừa Thiên Huế","64 Nguyễn Trãi, Phường An Thới, TP. Phú Quốc, Kiên Giang",091/586301,Online,Từ chối,2022-10-03
ADM-158857,096000763119,Hồ Phương Phúc,0334068557,Ly hôn,Sở Kế hoạch và Đầu tư Hà Nội,2023-06-10,2023-06-19,Hoàn thành,ho.phuong.phuc651@protonmail.com,096000763119,6763111801,0,NV-279334,"92 Phạm Văn Đồng, Phường Mỹ Bình, TP. Long Xuyên, An Giang","197 Trường Chinh, Phường Đổng Quốc Bình, Quận Ngô Quyền, Hải Phòng",060/672834,Bưu điện,Đang xem xét,2024-10-09
ADM-619425,084183241494,Đỗ Xuân Hùng,0353057951,Giấy phép lái xe,UBND Quận Hoàn Kiếm,2023-06-16,2023-08-15,Đang xử lý,do.xuan.hung420@yahoo.com,084183241494,4270055940,0,NV-217758,"249 Hoàng Diệu, Xã Việt Hưng, Huyện Văn Lâm, Hưng Yên","446 Phan Đình Phùng, Phường Cao Thắng, TP. Hạ Long, Quảng Ninh",049/840215,Online,Đang xem xét,2022-06-25
ADM-701546,012074936245,Dương Thành Phúc,0367677465,Giấy phép lái xe,Sở Kế hoạch và Đầu tư Hà Nội,2022-03-24,2022-04-25,Đang xử lý,duong.thanh.phuc825@hotmail.com,012074936245,4544722248,50000,NV-970228,"429 Cách Mạng Tháng 8, Phường Nghi Hòa, TX. Cửa Lò, Nghệ An","460 Nguyễn Huệ, Phường Lái Thiêu, Huyện Thuận An, Bình Dương",017/521781,Qua đại lý,Đang xem xét,2022-09-01
ADM-555961,056371548477,Nguyễn Minh Châu,0887901023,Đăng ký kinh doanh,UBND Quận 1,2022-06-13,2022-07-26,Đang xử lý,nguyen.minh.chau285@yahoo.com,056371548477,5992489031,50000,NV-501019,"418 Hoàng Diệu, Phường Mỹ Bình, TP. Long Xuyên, An Giang","37 Hoàng Văn Thụ, Phường Đông Mai, TX. Quảng Yên, Quảng Ninh",072/675441,Trực tiếp,Chấp thuận,2023-11-04
ADM-300072,014085254120,Lý Quốc Tâm,0773483155,Giấy phép lái xe,Sở Tư pháp Hà Nội,2023-09-08,2023-10-10,Đang xử lý,ly.quoc.tam609@outlook.com,014085254120,9042131271,50000,NV-302823,"39 Đinh Tiên Hoàng, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ","133 Nguyễn Trãi, Phường Nam Sơn, TP. Tam Điệp, Ninh Bình",048/386877,Qua đại lý,Đang xem xét,2024-03-01
ADM-135295,075102736488,Trần Thanh Linh,0858384804,Giấy phép xây dựng,UBND TP. Hà Nội,2021-03-09,2021-05-05,Hoàn thành,tran.thanh.linh748@hotmail.com,075102736488,8414215772,50000,NV-609294,"398 Phạm Văn Đồng, Xã Ninh Mỹ, Huyện Hoa Lư, Ninh Bình","242 Điện Biên Phủ, Phường Nhân Hòa, TX. Mỹ Hào, Hưng Yên",064/591236,Bưu điện,Từ chối,2022-08-22
ADM-594813,084287575016,Ngô Thùy Giang,0345360821,Đăng ký kinh doanh,Sở Tư pháp TP.HCM,2024-01-02,2024-02-12,Chờ bổ sung hồ sơ,ngo.thuy.giang120@yahoo.com,084287575016,6109999216,100000,NV-462211,"301 Võ Thị Sáu, Phường Phú Cường, TP. Thủ Dầu Một, Bình Dương","340 Lê Văn Sỹ, Phường Cẩm Đông, TP. Cẩm Phả, Quảng Ninh",001/350605,Online,Đang xem xét,2022-03-28
ADM-896122,035280299412,Phan Bảo Giang,0813163952,Khai tử,UBND Quận Bình Thạnh,2021-11-18,2021-11-25,Hoàn thành,phan.bao.giang678@hotmail.com,035280299412,2428056595,100000,NV-463025,"311 Cách Mạng Tháng 8, Phường Bình Chuẩn, Huyện Thuận An, Bình Dương","167 Cách Mạng Tháng 8, Phường Cao Thắng, TP. Hạ Long, Quảng Ninh",066/181125,Online,Chấp thuận,2024-08-24
