record_id,cccd_so,ho_va_ten,ngay_sinh,gioi_tinh,sdt_chinh,dia_chi_cu_tru,tinh_thanh,quoc_tich,ref_ext,so_phu,pid,tinh_trang_hn,trinh_do_hv,nghe_nghiep,noi_sinh,so_nguoi_phu_thuoc,ngay_cap_cccd,dan_toc,created_at
CIT-246316,027193234053,Đỗ Thị An,1993-04-06,Nam,0378078673,"112 Trường Chinh, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",An Giang,Việt Nam,do.thi.an575@yahoo.com,0924698379,027193234053,Góa,Tiến sĩ,Lập trình viên,Hà Nội,1,2022-10-30,Mường,2023-11-28
CIT-197251,077202107175,Hoàng Đức Hùng,2002-12-08,Nữ,0387022674,"414 Lê Lợi, Xã Ninh Giang, Huyện Hoa Lư, Ninh Bình",Thừa Thiên Huế,Việt Nam,hoang.duc.hung997@outlook.com,0375918715,077202107175,Ly hôn,Tiến sĩ,Kế toán,Đà Nẵng,0,2022-06-01,Tày,2023-08-16
CIT-575435,011398291476,Trần Xuân Lan,1998-11-13,Nữ,0597210606,"360 Trần Phú, Phường Thanh Bình, TP. Ninh Bình, Ninh Bình",Bình Dương,Việt Nam,tran.xuan.lan168@outlook.com,0905528972,011398291476,Đã kết hôn,Đại học,Kỹ sư,Thái Nguyên,0,2024-01-11,Thái,2024-04-01
CIT-787277,094200222955,Hoàng Thị Hùng,2000-12-16,Nữ,0918698256,"127 Phạm Văn Đồng, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ",Kiên Giang,Việt Nam,hoang.thi.hung765@protonmail.com,0937700828,094200222955,Ly hôn,Cao đẳng,Bác sĩ,An Giang,3,2016-01-08,H'Mông,2022-04-07
CIT-166613,017388625380,Dương Thị Giang,1988-02-23,Nữ,0908852574,"349 Đinh Tiên Hoàng, Phường Châu Phú A, TP. Châu Đốc, An Giang",Kiên Giang,Việt Nam,duong.thi.giang788@hotmail.com,0395924115,017388625380,Góa,Cao đẳng,Công nhân,Hà Nội,5,2024-10-27,Nùng,2023-06-24
CIT-755674,092082912804,Đặng Phương Hà,1982-10-09,Nữ,0763564217,"307 Phan Đình Phùng, Phường Đông Thành, TP. Ninh Bình, Ninh Bình",Đồng Nai,Việt Nam,dang.phuong.ha115@hotmail.com,0845017343,092082912804,Độc thân,Cao đẳng,Giáo viên,Đà Nẵng,5,2020-06-13,H'Mông,2022-05-22
CIT-676510,067365992842,Ngô Bảo Giang,1965-10-04,Nam,0819852897,"366 Hoàng Diệu, Phường Lê Mao, TP. Vinh, Nghệ An",Thanh Hóa,Việt Nam,ngo.bao.giang449@protonmail.com,0943030113,067365992842,Đã kết hôn,Cao đẳng,Giáo viên,Hưng Yên,0,2021-08-06,Khmer,2023-04-17
CIT-170674,072063240062,Bùi Minh An,1963-03-09,Nam,0862188789,"343 Hoàng Văn Thụ, Phường Mỹ Xuyên, TP. Long Xuyên, An Giang",Quảng Ninh,Việt Nam,bui.minh.an741@protonmail.com,0975076817,072063240062,Góa,Thạc sĩ,Kế toán,Hải Phòng,0,2022-05-23,Mường,2023-12-27
CIT-785197,074098706073,Phan Anh Quân,1998-10-01,Nam,0357754864,"99 Bà Triệu, Phường Lam Sơn, TP. Hưng Yên, Hưng Yên",Kiên Giang,Việt Nam,phan.anh.quan144@outlook.com,0705673212,074098706073,Góa,Cao đẳng,Giáo viên,Thừa Thiên Huế,4,2016-02-06,Kinh,2022-01-31
CIT-324130,040367504740,Trần Trung Lan,1967-06-17,Nữ,0353762152,"136 Điện Biên Phủ, Phường Ngọc Trạo, TP. Thanh Hóa, Thanh Hóa",Hải Dương,Việt Nam,tran.trung.lan714@protonmail.com,0983597059,040367504740,Đã kết hôn,Đại học,Kế toán,TP. Hồ Chí Minh,4,2023-04-02,Khmer,2022-05-05
CIT-994141,058362527276,Hồ Quốc Bình,1962-04-01,Nam,0359519948,"305 Trần Phú, Phường Hải Châu 1, Quận Hải Châu, Đà Nẵng",Thái Nguyên,Việt Nam,ho.quoc.binh123@protonmail.com,0791666754,058362527276,Độc thân,Thạc sĩ,Nông dân,Hưng Yên,2,2017-04-16,Nùng,2023-10-06
CIT-431535,067265479434,Phạm Thành Nga,1965-11-14,Nam,0328688755,"110 Lê Văn Sỹ, Phường Cầu Tre, Quận Ngô Quyền, Hải Phòng",Bắc Ninh,Việt Nam,pham.thanh.nga956@hotmail.com,0365098412,067265479434,Ly hôn,Đại học,Bác sĩ,Thừa Thiên Huế,4,2022-11-21,Thái,2024-12-19
CIT-240814,093073984539,Nguyễn Thanh Thảo,1973-06-06,Nữ,0392795765,"145 Tô Hiến Thành, Phường An Bình, TP. Rạch Giá, Kiên Giang",Quảng Ninh,Việt Nam,nguyen.thanh.thao209@hotmail.com,0985213115,093073984539,Độc thân,Trung học phổ thông,Kinh doanh tự do,Bắc Ninh,0,2015-01-15,Thái,2022-09-25
CIT-110139,044393588153,Đỗ Thành Hà,1993-04-01,Nam,0363500715,"299 Phạm Văn Đồng, Phường An Bình, TP. Rạch Giá, Kiên Giang",Cần Thơ,Việt Nam,do.thanh.ha131@gmail.com,0847117837,044393588153,Độc thân,Đại học,Kế toán,Thái Nguyên,5,2016-02-26,Thái,2024-04-12
CIT-270395,093101906604,Bùi Ngọc Giang,2001-07-11,Nam,0921415846,"411 Trường Chinh, Phường Lái Thiêu, Huyện Thuận An, Bình Dương",Bắc Ninh,Việt Nam,bui.ngoc.giang807@gmail.com,0901649691,093101906604,Góa,Cao đẳng,Kế toán,Thừa Thiên Huế,2,2018-06-04,H'Mông,2023-04-12
CIT-172792,038268292136,Phạm Văn Việt,1968-08-30,Nữ,0889546409,"481 Nguyễn Huệ, Xã Hoằng Đạo, Huyện Hoằng Hóa, Thanh Hóa",Hải Phòng,Việt Nam,pham.van.viet183@protonmail.com,0811641849,038268292136,Độc thân,Tiến sĩ,Kinh doanh tự do,Ninh Bình,5,2023-10-27,Thái,2024-06-12
CIT-146542,091177267095,Bùi Bảo Dũng,1977-04-12,Nữ,0329722815,"187 Nam Kỳ Khởi Nghĩa, Xã Bình Trị, Huyện Kiên Lương, Kiên Giang",Đà Nẵng,Việt Nam,bui.bao.dung639@hotmail.com,0396038571,091177267095,Ly hôn,Thạc sĩ,Nhân viên văn phòng,Thanh Hóa,5,2018-04-26,Khmer,2022-09-18
CIT-696750,037102645414,Phạm Anh Việt,2002-03-07,Nữ,0911006810,"221 Nguyễn Văn Cừ, Phường Cộng Hòa, TP. Chí Linh, Hải Dương",Hưng Yên,Việt Nam,pham.anh.viet453@outlook.com,0779576076,037102645414,Góa,Cao đẳng,Giáo viên,Hải Dương,4,2022-06-12,Nùng,2023-11-18
CIT-308802,031190845742,Trần Xuân Lan,1990-03-07,Nam,0331775337,"234 Nam Kỳ Khởi Nghĩa, Phường Mỏ Chè, TP. Sông Công, Thái Nguyên",Quảng Ninh,Việt Nam,tran.xuan.lan507@outlook.com,0793475836,031190845742,Độc thân,Trung học phổ thông,Kinh doanh tự do,Thái Nguyên,1,2024-01-07,Nùng,2024-11-26
CIT-239816,092071478634,Vũ Văn Thảo,1971-03-06,Nữ,0858425149,"460 Hai Bà Trưng, Phường Vĩnh Mỹ, TP. Châu Đốc, An Giang",Đồng Nai,Việt Nam,vu.van.thao266@yahoo.com,0829745959,092071478634,Góa,Cao đẳng,Lập trình viên,Thừa Thiên Huế,0,2023-01-01,Thái,2023-04-26
CIT-258157,052000145095,Hoàng Quốc Mai,2000-01-22,Nam,0903563646,"209 Phan Đình Phùng, Phường Hà Khánh, TP. Hạ Long, Quảng Ninh",Kiên Giang,Việt Nam,hoang.quoc.mai426@gmail.com,0778048838,052000145095,Góa,Tiến sĩ,Kỹ sư,Thanh Hóa,3,2015-01-25,Thái,2023-09-04
CIT-330080,075184511945,Ngô Anh Phúc,1984-02-22,Nữ,0939147720,"343 Cách Mạng Tháng 8, Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội",Bình Dương,Việt Nam,ngo.anh.phuc942@yahoo.com,0337610562,075184511945,Độc thân,Trung học phổ thông,Kinh doanh tự do,Cần Thơ,3,2017-01-14,Kinh,2023-06-17
CIT-497542,033280798207,Phan Quốc Hùng,1980-05-24,Nữ,0925232413,"384 Phạm Văn Đồng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",TP. Hồ Chí Minh,Việt Nam,phan.quoc.hung230@gmail.com,0341520596,033280798207,Đã kết hôn,Cao đẳng,Kỹ sư,Cần Thơ,1,2016-06-01,Mường,2022-08-23
CIT-735324,026291175939,Bùi Minh Quân,1991-05-18,Nam,0596218367,"476 Hoàng Diệu, Xã An Đồng, Huyện An Dương, Hải Phòng",Thanh Hóa,Việt Nam,bui.minh.quan965@yahoo.com,0365074336,026291175939,Độc thân,Đại học,Giáo viên,TP. Hồ Chí Minh,2,2020-12-22,Mường,2024-01-29
CIT-614013,001375862276,Trần Bảo Uyên,1975-04-22,Nam,0937076506,"223 Hai Bà Trưng, Xã Hương Toàn, TX. Hương Trà, Thừa Thiên Huế",An Giang,Việt Nam,tran.bao.uyen631@protonmail.com,0978799287,001375862276,Góa,Tiến sĩ,Lập trình viên,Hưng Yên,1,2024-04-25,Kinh,2023-07-26
CIT-130094,045393352737,Lý Thùy Lan,1993-08-30,Nữ,0854050766,"409 Nguyễn Trãi, Phường Hố Nai, TP. Biên Hòa, Đồng Nai",Hưng Yên,Việt Nam,ly.thuy.lan902@protonmail.com,0821170307,045393352737,Đã kết hôn,Trung học phổ thông,Kế toán,Nghệ An,3,2021-03-24,H'Mông,2023-05-08
CIT-118080,048391831450,Hồ Thùy Uyên,1991-12-06,Nam,0834717770,"157 Nguyễn Văn Cừ, Xã Hoằng Lộc, Huyện Hoằng Hóa, Thanh Hóa",Ninh Bình,Việt Nam,ho.thuy.uyen567@protonmail.com,0888138769,048391831450,Ly hôn,Đại học,Công nhân,Bắc Ninh,2,2017-10-26,Tày,2022-09-05
CIT-326895,075165200845,Hồ Minh Mai,1965-05-12,Nữ,0829801946,"152 Trường Chinh, Phường Thanh Bình, TP. Hải Dương, Hải Dương",Ninh Bình,Việt Nam,ho.minh.mai310@gmail.com,0565602180,075165200845,Độc thân,Trung học phổ thông,Nông dân,Hải Dương,5,2016-06-01,Nùng,2024-10-02
CIT-561865,030385501968,Trần Xuân An,1985-10-01,Nữ,0701861958,"421 Trần Phú, Phường Đông Ngàn, TP. Từ Sơn, Bắc Ninh",Thanh Hóa,Việt Nam,tran.xuan.an76@protonmail.com,0353545556,030385501968,Đã kết hôn,Tiến sĩ,Lập trình viên,Đà Nẵng,1,2016-04-30,Khmer,2024-05-02
CIT-564226,079370472398,Bùi Hữu Tuấn,1970-02-14,Nữ,0936123430,"321 Bà Triệu, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh",Bắc Ninh,Việt Nam,bui.huu.tuan161@yahoo.com,0702259379,079370472398,Đã kết hôn,Trung học phổ thông,Kinh doanh tự do,Thừa Thiên Huế,5,2021-08-29,Mường,2023-08-20
CIT-820775,030391074637,Nguyễn Minh Long,1991-09-17,Nam,0814318855,"332 Lý Thường Kiệt, Phường Lê Mao, TP. Vinh, Nghệ An",Bắc Ninh,Việt Nam,nguyen.minh.long74@gmail.com,0596160869,030391074637,Ly hôn,Thạc sĩ,Giáo viên,Thừa Thiên Huế,5,2018-05-30,Nùng,2024-04-04
CIT-141797,044082627086,Hoàng Bảo Thảo,1982-02-24,Nữ,0855200476,"493 Nguyễn Văn Cừ, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",Hà Nội,Việt Nam,hoang.bao.thao591@gmail.com,0708893693,044082627086,Góa,Đại học,Bác sĩ,Nghệ An,5,2024-02-18,Mường,2022-07-06
CIT-268637,033074899398,Vũ Quốc Phúc,1974-12-13,Nữ,0929312590,"417 Phạm Văn Đồng, Xã Hợp Tiến, Huyện Nam Sách, Hải Dương",TP. Hồ Chí Minh,Việt Nam,vu.quoc.phuc91@hotmail.com,0816423634,033074899398,Độc thân,Thạc sĩ,Nông dân,Hà Nội,5,2024-09-30,Khmer,2024-08-04
CIT-563513,036383655788,Phan Văn Hùng,1983-04-04,Nam,0775480460,"225 Hoàng Văn Thụ, Phường An Bình, TP. Rạch Giá, Kiên Giang",Hải Phòng,Việt Nam,phan.van.hung997@protonmail.com,0793657144,036383655788,Ly hôn,Tiến sĩ,Kỹ sư,Kiên Giang,3,2016-01-17,Tày,2022-08-21
CIT-851413,015397977957,Vũ Thị Uyên,1997-04-29,Nữ,0827970771,"234 Phạm Văn Đồng, Phường Xuân Thanh, TP. Long Khánh, Đồng Nai",Cần Thơ,Việt Nam,vu.thi.uyen196@protonmail.com,0562171218,015397977957,Ly hôn,Thạc sĩ,Nhân viên văn phòng,An Giang,2,2024-03-14,Kinh,2023-08-03
CIT-255813,067386907291,Hồ Thành Toàn,1986-01-05,Nữ,0976790218,"234 Phan Đình Phùng, Xã Việt Hưng, Huyện Văn Lâm, Hưng Yên",Quảng Ninh,Việt Nam,ho.thanh.toan586@outlook.com,0787891662,067386907291,Độc thân,Đại học,Công nhân,Thanh Hóa,3,2022-06-11,H'Mông,2022-11-08
