emp_id,so_cccd,ho_ten_nv,d_entry,sdt_ca_nhan,personal_email,work_email,res_data,phong_ban,chuc_vu,m_val,stk_ngan_hang,ten_ngan_hang,t_code,ins_num,ngay_vao_lam,loai_hop_dong,noi_lam_viec,manager_id,created_at
EMP-291465,026078801655,Hồ Thành Nam,1978-04-18,0857347106,ho.thanh.nam406@yahoo.com,ho.thanh.nam@masan.com.vn,"452 Nam Kỳ Khởi Nghĩa, Phường Phả Lại, TP. Chí Linh, Hải Dương",Pháp lý,Nhân viên,22500000,20600398686,MB Bank,026078801655,1885890178,2013-03-05,Cộng tác viên,Hà Nội,EMP-852784,2024-10-06
EMP-124319,033399414722,Dương Bảo Nga,1999-08-13,0396836018,duong.bao.nga886@outlook.com,duong.bao.nga@masan.com.vn,"372 Lê Văn Sỹ, Phường Lê Thanh Nghị, TP. Hải Dương, Hải Dương",Nhân sự,Chuyên viên,13500000,030121591,VietinBank,033399414722,3661783159,2017-02-13,Cộng tác viên,Quảng Ninh,EMP-996933,2022-04-13
EMP-109382,038267930355,Lý Quốc Bình,1967-05-09,0985357795,ly.quoc.binh263@hotmail.com,ly.quoc.binh@masan.com.vn,"228 Nguyễn Văn Cừ, Phường Chánh Nghĩa, TP. Thủ Dầu Một, Bình Dương",Kỹ thuật,Trưởng nhóm,4000000,34825556132,VietinBank,038267930355,5736652499,2014-09-21,Cộng tác viên,Đà Nẵng,EMP-670145,2023-03-18
EMP-457221,012173171990,Lê Thùy Sơn,1973-10-16,0888872457,le.thuy.son568@hotmail.com,le.thuy.son@mbbank.com.vn,"158 Phạm Văn Đồng, Phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương",Chăm sóc khách hàng,Nhân viên,23000000,939851260,TPBank,012173171990,5978745549,2024-12-24,Thử việc,Thái Nguyên,EMP-531759,2023-08-16
EMP-194842,015280289391,Nguyễn Trung Mai,1980-07-14,0972208903,nguyen.trung.mai699@hotmail.com,nguyen.trung.mai@masan.com.vn,"311 Nguyễn Huệ, Phường Dị Sử, TX. Mỹ Hào, Hưng Yên",Tài chính - Kế toán,Trưởng nhóm,24000000,1839027628387904,ACB,015280289391,9999370388,2023-11-27,Thời vụ,Thừa Thiên Huế,EMP-776742,2024-05-09
EMP-273414,075184735652,Phan Anh Thảo,1984-05-21,0704323190,phan.anh.thao440@gmail.com,phan.anh.thao@viettel.com.vn,"59 Trường Chinh, Xã Thủy Thanh, TX. Hương Thủy, Thừa Thiên Huế",Pháp lý,Thực tập sinh,44000000,398576905528,Agribank,075184735652,5920328510,2020-09-13,Thử việc,Thanh Hóa,EMP-706639,2024-12-29
EMP-738326,034088137499,Phan Hữu Uyên,1988-11-12,0987590232,phan.huu.uyen45@protonmail.com,phan.huu.uyen@vnpt.vn,"40 Võ Thị Sáu, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Mua hàng,Giám đốc,20000000,7804806652,TPBank,034088137499,5473373114,2010-08-13,Thời vụ,TP. Hồ Chí Minh,EMP-449293,2023-07-29
EMP-690932,001297604956,Huỳnh Thanh Toàn,1997-03-01,0797436387,huynh.thanh.toan480@outlook.com,huynh.thanh.toan@viettel.com.vn,"172 Cách Mạng Tháng 8, Phường Đình Bảng, TP. Từ Sơn, Bắc Ninh",Chăm sóc khách hàng,Phó giám đốc,21000000,09689359003,TPBank,001297604956,3271656209,2024-04-16,Chính thức,Đà Nẵng,EMP-434400,2022-04-13
EMP-164422,037363263185,Ngô Phương Lan,1963-03-31,0989857231,ngo.phuong.lan460@yahoo.com,ngo.phuong.lan@fpt.com.vn,"452 Nguyễn Trãi, Phường Chánh Nghĩa, TP. Thủ Dầu Một, Bình Dương",Vận hành,Trưởng nhóm,14000000,12226902497,Sacombank,037363263185,7387020212,2015-03-19,Thử việc,Quảng Ninh,EMP-359422,2024-03-20
EMP-401341,042077810115,Hồ Đức Nga,1977-01-18,0949077849,ho.duc.nga872@outlook.com,ho.duc.nga@vnpt.vn,"116 Trường Chinh, Phường Châu Phú B, TP. Châu Đốc, An Giang",Chăm sóc khách hàng,Giám đốc,16500000,318001533732,MB Bank,042077810115,6122473039,2022-04-03,Chính thức,Hải Phòng,EMP-566967,2022-06-23
EMP-118458,046299588291,Hồ Ngọc Quân,1999-12-07,0769762060,ho.ngoc.quan256@gmail.com,ho.ngoc.quan@masan.com.vn,"242 Phan Đình Phùng, Phường Đồng Kỵ, TP. Từ Sơn, Bắc Ninh",Vận hành,Phó giám đốc,6500000,14410405537204,VPBank,046299588291,5481005467,2018-12-03,Thử việc,Bình Dương,EMP-582090,2024-08-27
