txn_id,initiator_key,sender_fullname,acct_a,val_c,acct_b,receiver_name,so_tien,loai_tien_te,loai_giao_dich,kenh_giao_dich,trang_thai,notify_ref,ip_addr,device_fingerprint,geo_label,receiver_phone,phi_giao_dich,created_at,batch_id
TXN-749526,017265741719,Trần Thanh Bình,930496225444,0982619569,13686910200248,Hoàng Thùy Châu,1000000,VND,Rút tiền,Internet Banking,Đang xử lý,tran.thanh.binh367@outlook.com,43.69.26.174,693dcbf9a2a50c4dee4eadfcbed0e9a4,Cần Thơ,0594924848,2000,2022-10-26,BATCH-6861
TXN-157755,094197440137,Phan Thanh Linh,74567454756740,0765907528,502278651087,Phan Văn Uyên,200000,VND,Nạp tiền,POS,Đang xử lý,phan.thanh.linh58@hotmail.com,157.245.143.33,f0d332ccfecff26bd5ee872e4ecabefc,Hà Nội,0949277367,5000,2023-04-20,BATCH-2949
TXN-144715,022075901460,Huỳnh Thanh Long,5720909786273001,0588370989,158674559,Lê Minh An,200000,VND,Nạp tiền,Internet Banking,Thất bại,huynh.thanh.long816@yahoo.com,40.243.17.22,4c0e7efb04ae2acfbfeeb2d73c3c1a45,Hưng Yên,0816947700,2000,2023-01-26,BATCH-8789
TXN-895892,015083336600,Lý Quốc Châu,552860024435367,0912913202,8617435218521,Vũ Anh Quân,200000,VND,Mua sắm online,Mobile Banking,Thành công,ly.quoc.chau110@protonmail.com,156.233.152.14,3fca4c289b36afa8e4bc926aca4f45c0,Ninh Bình,0383012083,10000,2023-11-02,BATCH-6612
TXN-788070,070279990560,Đặng Hữu Quân,7863747133038003,0941383324,607937572,Lý Hữu Bình,50000,VND,Chuyển khoản,ATM,Thành công,dang.huu.quan903@outlook.com,85.166.119.200,4fae4d4cfecbb61fcd6e4572cc2a30da,Kiên Giang,0829815363,0,2023-09-28,BATCH-1086
TXN-167692,070193939203,Huỳnh Anh Xuân,087486775813,0842391282,8276384324,Phan Xuân Tâm,5000000,VND,Nạp tiền,ATM,Thành công,huynh.anh.xuan461@hotmail.com,140.235.183.97,5dcd6e5d21ef67c1abbea7bf942c807f,Hưng Yên,0593330071,5000,2023-11-08,BATCH-2684
TXN-672976,093362304808,Lý Thanh Châu,711871940824,0772383369,263866673,Hồ Văn Xuân,1000000,VND,Thanh toán hóa đơn,Internet Banking,Thất bại,ly.thanh.chau469@hotmail.com,27.175.111.32,5ac2abe86b7ac2ebfba1b13d2c1fa214,Bắc Ninh,0567116101,1000,2022-06-09,BATCH-9214
TXN-149320,015391618806,Đỗ Văn Xuân,709001322122,0358719007,8925529312,Ngô Trung Linh,5000000,VND,Nạp tiền,POS,Thất bại,do.van.xuan497@hotmail.com,30.186.234.169,9b59eb8d62dcf3a3266acb63dfcfaf0a,Bình Dương,0564808507,5000,2023-03-05,BATCH-1125
TXN-151861,083164669178,Đỗ Xuân Long,93543338185164,0945556815,439901974,Phạm Thanh Toàn,50000000,VND,Rút tiền,Internet Banking,Chờ xác nhận,do.xuan.long64@yahoo.com,178.224.48.98,7e51ebf33dbdb61e38765df5d2a555e5,Hưng Yên,0362484982,1000,2023-04-30,BATCH-5732
TXN-653964,010264596222,Phan Ngọc An,54375608709505,0935327150,127451532,Nguyễn Thùy Bình,1000000,VND,Mua sắm online,Mobile Banking,Thất bại,phan.ngoc.an134@hotmail.com,186.69.161.2,a6d6befb8ece06c5a3a1f2ddafdccf05,Bình Dương,0975462889,2000,2023-04-21,BATCH-8229
TXN-991342,093163275268,Đặng Hữu Long,1041976527,0587645220,273594432130,Ngô Quốc Dũng,10000000,VND,Rút tiền,POS,Thành công,dang.huu.long188@protonmail.com,203.117.83.219,0a21a16a9e4b54ba88e15af7fb30bc0e,Hà Nội,0827199102,2000,2022-05-27,BATCH-8160
TXN-746833,027173246907,Phạm Thị An,19955242324,0707134294,672815230977256,Vũ Hữu Dũng,2000000,VND,Nạp tiền,Quầy giao dịch,Đang xử lý,pham.thi.an955@protonmail.com,168.240.187.152,e18cec7efbabedb3fd9dd773246bebfc,Thanh Hóa,0892489120,5000,2024-07-29,BATCH-5767
TXN-321467,001082440956,Nguyễn Thành Phúc,043759402200,0597603525,798398121270761,Hồ Minh Hùng,200000,VND,Thanh toán hóa đơn,ATM,Thất bại,nguyen.thanh.phuc358@gmail.com,54.6.47.167,fadf9aced8dc7ed805dcaaaabfaaeaa3,Hải Phòng,0792472949,10000,2022-06-02,BATCH-3609
TXN-103782,051393119877,Bùi Bảo Mai,1446948149,0988839264,247867979,Ngô Xuân Phúc,200000,VND,Thanh toán thẻ,Internet Banking,Thành công,bui.bao.mai728@gmail.com,216.164.103.92,ede1b4a773ebe33dacc84ce95ca21860,Đà Nẵng,0864930314,5000,2022-03-17,BATCH-7114
TXN-481810,010170152842,Đỗ Phương Giang,7470090649705002,0363861909,11856158963,Đỗ Văn Thảo,1000000,VND,Thanh toán hóa đơn,Quầy giao dịch,Thất bại,do.phuong.giang476@yahoo.com,84.70.17.24,f06025f1af3bbd2c3dd5aa2facf15289,TP. Hồ Chí Minh,0862701065,1000,2024-10-29,BATCH-8340
TXN-740665,044360757897,Đỗ Phương Việt,8570937484380851,0356912532,3004621644,Vũ Anh Thảo,50000000,VND,Thanh toán hóa đơn,Internet Banking,Thất bại,do.phuong.viet650@outlook.com,152.231.82.254,40575fec6ce3020e23fb0e7adfcd2a1a,Quảng Ninh,0858534207,2000,2023-10-25,BATCH-8898
TXN-557111,079387862273,Trần Minh Quân,05053686299474,0388200990,457024395727,Đỗ Phương Hùng,10000000,VND,Mua sắm online,POS,Chờ xác nhận,tran.minh.quan826@hotmail.com,66.102.99.1,30dfc92013ff1e7e6ef6e9dcde08da68,An Giang,0338182469,2000,2023-11-01,BATCH-4995
